Week,TEAM_1,TEAM_2,,,,,,,,,,,,,,,,
1,ARI,@DET,,,,,,,,,,,,,,,,
1,ATL,@CHI,,,,,,,,,,,,,,,,
1,BAL,@CIN,,,,,,,,,,,,,,,,
1,BUF,NYJ,,,,,,,,,,,,,,,,
1,CAR,@SF,,,,,,,,,,,,,,,,
1,CHI,ATL,,,,,,,,,,,,,,,,
1,CIN,BAL,,,,,,,,,,,,,,,,
1,CLE,PIT,,,,,,,,,,,,,,,,
1,DAL,NYG,,,,,,,,,,,,,,,,
1,DEN,LAC,,,,,,,,,,,,,,,,
1,DET,ARI,,,,,,,,,,,,,,,,
1,GB,SEA,,,,,,,,,,,,,,,,
1,HOU,JAX,,,,,,,,,,,,,,,,
1,IND,@LAR,,,,,,,,,,,,,,,,
1,JAX,@HOU,,,,,,,,,,,,,,,,
1,KC,@NE,,,,,,,,,,,,,,,,
1,LAR,IND,,,,,,,,,,,,,,,,
1,LAC,@DEN,,,,,,,,,,,,,,,,
1,MIA,TB,,,,,,,,,,,,,,,,
1,MIN,NO,,,,,,,,,,,,,,,,
1,NE,KC,,,,,,,,,,,,,,,,
1,NO,@MIN,,,,,,,,,,,,,,,,
1,NYG,@DAL,,,,,,,,,,,,,,,,
1,NYJ,@BUF,,,,,,,,,,,,,,,,
1,OAK,@TEN,,,,,,,,,,,,,,,,
1,PHI,@WSH,,,,,,,,,,,,,,,,
1,PIT,@CLE,,,,,,,,,,,,,,,,
1,SF,CAR,,,,,,,,,,,,,,,,
1,SEA,@GB,,,,,,,,,,,,,,,,
1,TB,@MIA,,,,,,,,,,,,,,,,
1,TEN,OAK,,,,,,,,,,,,,,,,
1,WSH,PHI,,,,,,,,,,,,,,,,
2,ARI,@IND,,,,,,,,,,,,,,,,
2,ATL,GB,,,,,,,,,,,,,,,,
2,BAL,CLE,,,,,,,,,,,,,,,,
2,BUF,@CAR,,,,,,,,,,,,,,,,
2,CAR,BUF,,,,,,,,,,,,,,,,
2,CHI,@TB,,,,,,,,,,,,,,,,
2,CIN,HOU,,,,,,,,,,,,,,,,
2,CLE,@BAL,,,,,,,,,,,,,,,,
2,DAL,@DEN,,,,,,,,,,,,,,,,
2,DEN,DAL,,,,,,,,,,,,,,,,
2,DET,@NYG,,,,,,,,,,,,,,,,
2,GB,@ATL,,,,,,,,,,,,,,,,
2,HOU,@CIN,,,,,,,,,,,,,,,,
2,IND,ARI,,,,,,,,,,,,,,,,
2,JAX,TEN,,,,,,,,,,,,,,,,
2,KC,PHI,,,,,,,,,,,,,,,,
2,LAR,WSH,,,,,,,,,,,,,,,,
2,LAC,MIA,,,,,,,,,,,,,,,,
2,MIA,@LAC,,,,,,,,,,,,,,,,
2,MIN,@PIT,,,,,,,,,,,,,,,,
2,NE,@NO,,,,,,,,,,,,,,,,
2,NO,NE,,,,,,,,,,,,,,,,
2,NYG,DET,,,,,,,,,,,,,,,,
2,NYJ,@OAK,,,,,,,,,,,,,,,,
2,OAK,NYJ,,,,,,,,,,,,,,,,
2,PHI,@KC,,,,,,,,,,,,,,,,
2,PIT,MIN,,,,,,,,,,,,,,,,
2,SF,@SEA,,,,,,,,,,,,,,,,
2,SEA,SF,,,,,,,,,,,,,,,,
2,TB,CHI,,,,,,,,,,,,,,,,
2,TEN,@JAX,,,,,,,,,,,,,,,,
2,WSH,@LAR,,,,,,,,,,,,,,,,
3,ARI,DAL,,,,,,,,,,,,,,,,
3,ATL,@DET,,,,,,,,,,,,,,,,
3,BAL,@JAX,,,,,,,,,,,,,,,,
3,BUF,DEN,,,,,,,,,,,,,,,,
3,CAR,NO,,,,,,,,,,,,,,,,
3,CHI,PIT,,,,,,,,,,,,,,,,
3,CIN,@GB,,,,,,,,,,,,,,,,
3,CLE,@IND,,,,,,,,,,,,,,,,
3,DAL,@ARI,,,,,,,,,,,,,,,,
3,DEN,@BUF,,,,,,,,,,,,,,,,
3,DET,ATL,,,,,,,,,,,,,,,,
3,GB,CIN,,,,,,,,,,,,,,,,
3,HOU,@NE,,,,,,,,,,,,,,,,
3,IND,CLE,,,,,,,,,,,,,,,,
3,JAX,BAL,,,,,,,,,,,,,,,,
3,KC,@LAC,,,,,,,,,,,,,,,,
3,LAR,@SF,,,,,,,,,,,,,,,,
3,LAC,KC,,,,,,,,,,,,,,,,
3,MIA,@NYJ,,,,,,,,,,,,,,,,
3,MIN,TB,,,,,,,,,,,,,,,,
3,NE,HOU,,,,,,,,,,,,,,,,
3,NO,@CAR,,,,,,,,,,,,,,,,
3,NYG,@PHI,,,,,,,,,,,,,,,,
3,NYJ,MIA,,,,,,,,,,,,,,,,
3,OAK,@WSH,,,,,,,,,,,,,,,,
